Signal Date,Signal Time (ET),Ticker,Category,Call/Put,Bullish/Bearish,Strike,Expiry,Premium,Confidence,Conviction Score,Algo Version,Signal Quality,Biddie Pick,Price at Signal,Entry Trigger,Entry Price,Target,Target Near,Invalidation,Gamma Zone,Gamma Description,Reason,Suggested Trade,Trade Status,Outcome,MFE %,Max Favorable Price,Entry Price Reached,Invalidation Breached,Review Status,Review Note,Reviewed At (ET)
2026-03-27,13:29:40,IWM,algorithm,put,bearish,241.00,"April 6, 2026",570506.00,10.00,100,v2,,t,243.78,Near $243.78 (no VWAP data),243.78,$238.90,$231.59,Above $248.66,,,$571K premium flow at $241 puts with 97% ask aggression.,,hit,hit,104.30,238.69,t,t,correct,"Same issue. Price is at 243.78. Entry is below price at 241.  (SHOULD BE NOW) Invalidation is above price at 245, Should be around 243-244. ",2026-03-30 01:19
2026-03-27,13:29:44,AAPL,whale,call,bullish,262.50,"April 17, 2026",1194996.00,8.00,80,v2,,t,250.41,On bounce from VWAP ($253.39) — Near $250.41,253.3925,$262.50,$267.75,Below $245.40,,,$1.2M premium sweep at $262.5 calls with 100% ask aggression. Price at $251.95 below VWAP ($253.39).,,miss,missed,47.73,256.18,t,t,wrong,How is this a HIT? Price was at 251 and price is not 247 and its a call? ,2026-03-30 01:07
2026-03-27,14:45:13,IWM,whale,put,bearish,240.00,"March 31, 2026",1557206.00,7.00,70,v2,,f,243.72,At VWAP ($244.93) — Near $243.72,244.93243,$240.00,$235.20,Above $248.59,,,$1.6M premium sweep at $240 puts with 89% ask aggression. Price at $243.97 below VWAP ($244.93). Negative gamma zone — moves will be amplified.,,hit,hit,101.88,239.93,t,f,correct,,2026-03-30 01:04
2026-03-27,14:45:14,BMNR,algorithm,put,bearish,16.00,"May 1, 2026",421100.00,6.00,60,v2,,f,18.48,Near $18.48 (no VWAP data),18.48,$18.11,$17.56,Above $18.85,,,$421K premium flow at $16 puts with 100% ask aggression.,,partial_hit,partial_hit,54.05,18.28,t,t,correct,"Price is at $18.48, Entry is incorrect. Invalidation is Incorrect. Target is correct. Entry should be at time of price and invalidation should be above vwap at 18.59",2026-03-30 01:15
2026-03-27,15:09:53,SPY,algorithm,put,bearish,604.00,"April 17, 2026",669000.00,8.00,80,v2,,t,634.72,Below VWAP ($638.83) — Near $634.72,638.83634,$604.00,$591.92,Above $647.41,,,$669K premium sweep at $604 puts with 100% ask aggression. Price at $634.67 below VWAP ($638.83).,,miss,missed,17.71,629.28,t,t,correct,,2026-03-30 00:17
2026-03-27,15:15:56,SPY,algorithm,put,bearish,600.00,"April 17, 2026",309651.00,7.00,70,v2,,f,635.41,Below VWAP ($638.75) — Near $635.41,638.75635,$600.00,$588.00,Above $648.12,,,$310K premium flow at $600 puts with 100% ask aggression. Price at $635.08 below VWAP ($638.75).,,miss,missed,17.31,629.28,t,t,correct,,2026-03-30 01:33
2026-03-27,19:10:47,SPY,algorithm,put,bearish,677.00,"April 3, 2026",649428.00,6.00,60,v2,,f,632.71,Below VWAP ($637.37) — Near $632.71,637.37632,$620.06,$601.07,Above $645.36,,,$649K premium flow at $677 puts with 52% ask aggression. Price at $632.80 below VWAP ($637.37).,,miss,missed,27.11,629.28,t,t,wrong,,2026-03-30 00:12
2026-03-30,10:03:14,TSM,algorithm,call,bullish,320.00,"April 2, 2026",598141.00,6.00,60,v2,moderate,f,319.37,On bounce from VWAP ($323.69) — Near $319.37,323.69319,Strike at $320.00,VWAP at $323.69,Below $312.98,,,"$598K call flow at $320 strike with 99% ask aggression. Price at $319.37 below VWAP ($323.69). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $318.95 (higher low, higher high — confirmed).",,hit,hit,466.67,322.31,f,f,wrong,Got out. @ 3:16. Will check to see if entry is actually invalidation level of 3.12,2026-03-30 10:45
2026-03-30,10:29:06,META,algorithm,call,bullish,540.00,"April 2, 2026",863718.00,6.00,60,v2,moderate,f,531.86,At VWAP ($532.75) — Near $531.86,532.75531,VWAP at $532.75,R1 at $539.46,Below Pivot at $529.86,,,$864K call flow at $540 strike with 100% ask aggression. Price at $531.86 below VWAP ($532.75). Negative gamma zone — moves will be amplified.,,hit,hit,185.39,533.51,t,f,correct,Banger! ,2026-03-30 23:05
2026-03-30,10:36:39,TSLA,algorithm,put,bearish,362.50,"April 3, 2026",415830.00,8.00,80,v2,strong,t,362.03,Below VWAP ($363.96) — Near $362.03,363.96362,PDL at $359.47,S1 at $357.58,Above Pivot at $363.72,,,"$416K put flow at $362.5 strike with 100% ask aggression. Price at $362.03 below VWAP ($363.96). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $363.72 (lower high, lower low — confirmed).",,hit,hit,144.14,358.34,t,t,correct,,2026-03-30 23:09
2026-03-30,10:40:39,ASML,algorithm,put,bearish,1265.00,"April 3, 2026",347200.00,6.00,60,v2,moderate,f,1264.28,Near $1264.28 (no VWAP data),1264.28,$1238.99,$1213.71,Above $1289.57,,,$347K put flow at $1265 strike with 100% ask aggression. Price at $1264.28.,,miss,missed,83.71,1243.11,t,t,correct,,2026-03-30 23:10
2026-03-30,10:44:32,QQQ,algorithm,put,bearish,563.00,"April 3, 2026",584612.00,8.00,80,v2,strong,t,561.80,At VWAP ($564.33) — Near $561.80,564.33561,PDL at $561.57,S1 at $559.10,Above Pivot at $565.06,,,"$585K put flow at $563 strike with 100% ask aggression. Price at $561.80 below VWAP ($564.33). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $563 (lower high, lower low — confirmed).",,hit,hit,100.00,561.57,t,f,correct,,2026-03-30 23:11
2026-03-30,10:44:33,COIN,algorithm,call,bullish,160.00,"April 2, 2026",462063.00,6.00,60,v2,moderate,f,160.27,On bounce from VWAP ($162.85) — Near $160.27,162.8516,VWAP at $162.85,Pivot at $163.24,Below PDL at $159.83,,,"$462K call flow at $160 strike with 100% ask aggression. Price at $160.27 below VWAP ($162.85). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $159.83 (higher low, higher high — confirmed).",,hit,hit,140.31,163.89,t,f,correct,,2026-03-30 23:14
2026-03-30,10:44:33,BKNG,algorithm,put,bearish,4200.00,"April 3, 2026",578180.00,6.00,60,v2,moderate,f,4108.87,At VWAP ($4094.56) — Near $4108.87,4094.564108,Pivot at $4099.04,VWAP at $4094.56,Above R1 at $4167.79,,,$578K put flow at $4200 strike with 100% ask aggression. Price at $4108.87 above VWAP ($4094.56).,,hit,hit,131.33,4095.96,f,f,correct,,2026-03-30 23:16
2026-03-30,10:47:57,SMCI,algorithm,call,bullish,21.50,"April 2, 2026",677810.00,6.00,60,v2,moderate,f,21.38,On bounce from VWAP ($21.74) — Near $21.38,21.7421,Strike at $21.50,VWAP at $21.74,Below $20.95,,,"$678K call flow at $21.5 strike with 100% ask aggression. Price at $21.38 below VWAP ($21.74). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $21.44 (higher low, higher high — confirmed).",,hit,hit,166.67,21.58,f,f,correct,,2026-03-30 23:19
2026-03-30,10:51:01,XOM,algorithm,put,bearish,175.00,"April 2, 2026",916004.00,6.00,60,v2,moderate,f,173.22,Below VWAP ($174.38) — Near $173.22,174.38173,Pivot at $169.01,S1 at $166.79,Above $176.68,,,"$916K put flow at $175 strike with 100% ask aggression. Price at $173.22 below VWAP ($174.38). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $173.22 (lower high, lower low — confirmed).",,hit,hit,133.49,167.60,t,f,correct,,2026-03-30 23:22
2026-03-30,11:10:14,PLTR,algorithm,call,bullish,141.00,"April 2, 2026",687499.00,7.00,70,v2,moderate,f,142.34,At VWAP ($141.96) — Near $142.34,141.96142,Pivot at $143.53,R1 at $145.50,Below PDL at $141.56,,,$687K call flow at $141 strike with 100% ask aggression. Price at $142.34 above VWAP ($141.96). Negative gamma zone — moves will be amplified.,,miss,missed,32.77,142.73,t,t,wrong,,2026-03-30 23:26
2026-03-30,11:10:14,QQQ,algorithm,put,bearish,565.00,"April 2, 2026",573447.00,7.00,70,v2,moderate,f,563.40,At VWAP ($564.14) — Near $563.40,564.14563,PDL at $561.57,S1 at $559.10,Above Pivot at $565.06,,,"$573K put flow at $565 strike with 100% ask aggression. Price at $563.40 below VWAP ($564.14). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $565.06 (lower high, lower low — confirmed).",,hit,hit,104.37,561.49,t,t,correct,,2026-03-30 23:28
2026-03-30,11:14:22,NVDA,algorithm,call,bullish,170.00,"April 1, 2026",767260.00,6.00,60,v2,moderate,f,168.17,At VWAP ($167.57) — Near $168.17,167.57168,Pivot at $168.50,R1 at $169.99,Below PDL at $167.01,,,$767K call flow at $170 strike with 100% ask aggression. Price at $168.17 above VWAP ($167.57). Negative gamma zone — moves will be amplified.,,miss,missed,-45.45,168.02,t,t,wrong,,2026-03-30 23:30
2026-03-30,11:14:23,CAVA,algorithm,put,bearish,74.00,"April 2, 2026",811824.00,6.00,60,v2,moderate,f,77.96,Whale sweep at $77.96,77.96,VWAP at $76.99,Pivot at $75.36,Above PDH at $78.02,,,$812K put sweep at $74 strike with 90% ask aggression. Price at $77.96 above VWAP ($76.99).,,hit,hit,102.06,76.97,t,t,correct,,2026-03-30 23:34
2026-03-30,11:14:23,IREN,algorithm,put,bearish,33.50,"April 2, 2026",431982.00,6.00,60,v2,moderate,f,33.59,Near $33.59 (no VWAP data),33.59,Strike at $33.50,$32.83,Above $34.26,,,$432K put flow at $33.5 strike with 100% ask aggression. Price at $33.59.,,hit,hit,377.78,33.25,t,f,correct,,2026-03-30 23:35
2026-03-30,11:18:44,OKLO,algorithm,put,bearish,47.00,"April 2, 2026",596173.00,10.00,100,v2,,f,48.77,Below VWAP ($49.64) — Near $48.77,49.6448,Strike at $47.00,$46.06,Above Pivot at $51.01,,,"$596K put flow at $47 strike with 100% ask aggression. Price at $48.77 below VWAP ($49.64). Price action confirmed: SR Tag + 2 Red Bars at $48.52 (lower high, lower low — confirmed).",,hit,hit,105.08,46.91,t,f,correct,,2026-03-30 23:39
2026-03-30,11:18:44,GOOGL,algorithm,call,bullish,275.00,"April 2, 2026",563621.00,10.00,100,v2,,f,274.48,Near $274.48 (no VWAP data),274.48,Strike at $275.00,$280.50,Below $268.99,,,$564K call flow at $275 strike with 100% ask aggression. Price at $274.48.,,hit,hit,119.23,275.10,t,f,correct,,2026-03-30 23:41
2026-03-30,11:18:44,RKLB,algorithm,put,bearish,60.00,"April 2, 2026",877795.00,9.00,90,v2,,f,59.42,At VWAP ($59.43) — Near $59.42,59.4359,$58.23,$57.04,Above Pivot at $62.46,,,$878K put flow at $60 strike with 94% ask aggression. Price at $59.42 below VWAP ($59.43). Negative gamma zone — moves will be amplified.,,hit,hit,131.93,57.85,t,f,correct,,2026-03-30 23:42
2026-03-30,11:18:45,WULF,algorithm,call,bullish,14.00,"April 2, 2026",596896.00,9.00,90,v2,,f,14.12,On bounce from VWAP ($14.32) — Near $14.12,14.3214,VWAP at $14.32,Pivot at $14.95,Below $13.84,,,$597K call flow at $14 strike with 100% ask aggression. Price at $14.12 below VWAP ($14.32). Negative gamma zone — moves will be amplified.,,miss,missed,70.00,14.26,f,t,wrong,,2026-03-30 23:44
2026-03-30,11:23:14,GLD,algorithm,call,bullish,417.00,"April 2, 2026",576985.00,6.00,60,v2,moderate,f,416.35,At VWAP ($417.07) — Near $416.35,417.07416,Strike at $417.00,VWAP at $417.07,Below Pivot at $412.84,,,$577K call flow at $417 strike with 100% ask aggression. Price at $416.35 below VWAP ($417.07). Negative gamma zone — moves will be amplified.,,hit,hit,276.92,418.15,t,f,correct,,2026-03-30 23:53
2026-03-30,11:23:37,PLTR,algorithm,put,bearish,135.00,"April 2, 2026",829240.00,8.00,80,v2,strong,t,141.26,At VWAP ($141.94) — Near $141.26,141.94141,$138.43,$135.61,Above Pivot at $143.53,,,"$829K put flow at $135 strike with 100% ask aggression. Price at $141.26 below VWAP ($141.94). Price action confirmed: SR Tag + 2 Red Bars at $141.56 (lower high, lower low — confirmed).",,hit,hit,101.06,138.40,t,f,correct,,2026-03-30 23:56
2026-03-30,11:26:47,KMI,algorithm,call,bullish,34.50,"April 2, 2026",396525.00,9.00,90,v2,,f,34.21,Near $34.21 (no VWAP data),34.21,Strike at $34.50,$35.19,Below $33.53,,,$397K call flow at $34.5 strike with 85% ask aggression. Price at $34.21.,,miss,missed,-10.34,34.18,f,t,wrong,,2026-03-30 23:58
2026-03-30,11:26:47,CVNA,algorithm,put,bearish,290.00,"April 2, 2026",383320.00,8.00,80,v2,,f,277.74,Near $277.74 (no VWAP data),277.74,$272.19,$266.63,Above $283.29,,,$383K put flow at $290 strike with 100% ask aggression. Price at $277.74.,,miss,missed,-10.09,278.30,f,t,wrong,,2026-03-30 23:58
2026-03-30,11:30:24,SPY,algorithm,call,bullish,636.00,"April 2, 2026",810000.00,10.00,100,v2,,f,636.42,At VWAP ($636.79) — Near $636.42,636.79636,Pivot at $636.62,VWAP at $636.79,Below PDL at $633.11,,,"$810K call flow at $636 strike with 100% ask aggression. Price at $636.42 below VWAP ($636.79). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $636.62 (higher low, higher high — confirmed).",,hit,hit,225.00,636.87,t,f,correct,Here is another on where the target is really close to the entry? ,2026-03-31 00:07
2026-03-30,11:33:42,MSFT,algorithm,call,bullish,365.00,"April 2, 2026",394478.00,6.00,60,v2,moderate,f,363.00,Near $363.00 (no VWAP data),363,Strike at $365.00,$372.30,Below $355.74,,,$394K call flow at $365 strike with 100% ask aggression. Price at $363.00.,,hit,hit,109.50,365.19,t,f,correct,,2026-03-31 00:02
2026-03-30,11:41:16,WMT,algorithm,put,bearish,125.00,"April 2, 2026",476850.00,9.00,90,v2,,f,124.49,Near $124.49 (no VWAP data),124.49,$122.00,$119.51,Above $126.98,,,$477K put flow at $125 strike with 100% ask aggression. Price at $124.49.,,partial,partial_hit,66.27,122.84,t,f,correct,,2026-03-31 00:11
2026-03-30,12:03:49,TTD,algorithm,put,bearish,22.50,"April 2, 2026",423863.00,7.00,70,v2,moderate,f,22.45,Near $22.45 (no VWAP data),22.45,$22.00,$21.55,Above $22.90,,,$424K put flow at $22.5 strike with 100% ask aggression. Price at $22.45.,,hit,hit,100.00,22.00,t,f,correct,,2026-03-31 00:14
2026-03-30,12:07:59,SNOW,algorithm,put,bearish,157.50,"April 2, 2026",476782.00,6.00,60,v2,moderate,f,158.32,Near $158.32 (no VWAP data),158.32,Strike at $157.50,$154.35,Above $161.49,,,$477K put flow at $157.5 strike with 100% ask aggression. Price at $158.32.,,hit,hit,186.59,156.79,t,f,correct,,2026-03-31 00:15
2026-03-30,12:16:47,NOW,algorithm,put,bearish,106.00,"April 2, 2026",435128.00,7.00,70,v2,strong,f,105.43,Near $105.43 (no VWAP data),105.43,$103.32,$101.21,Above $107.54,,,$435K put flow at $106 strike with 100% ask aggression. Price at $105.43.,,hit,hit,162.09,102.01,t,f,correct,,2026-03-31 00:15
2026-03-30,12:24:59,PEP,algorithm,put,bearish,165.00,"April 2, 2026",852040.00,6.00,60,v2,moderate,f,157.53,On rejection from VWAP ($156.60) — Near $157.53,156.60157,VWAP at $156.60,Pivot at $152.68,Above $160.68,,,$852K put flow at $165 strike with 100% ask aggression. Price at $157.53 above VWAP ($156.60).,,hit,hit,112.90,156.48,t,f,correct,,2026-03-31 00:20
2026-03-30,14:54:18,MU,algorithm,put,bearish,325.00,"April 2, 2026",497130.00,8.00,80,v2,strong,t,323.87,Below VWAP ($337.51) — Near $323.87,337.51323,$317.39,$310.92,Above Pivot at $359.99,,,$497K put sweep at $325 strike with 76% ask aggression. Price at $323.87 below VWAP ($337.51). Negative gamma zone — moves will be amplified.,,hit,hit,175.15,312.52,t,f,wrong,"The overall trade is good, the near price is good, target looks fine, but the invalidateion is over 40 dollars away. Not too sure about this one. ",2026-03-30 16:24
2026-03-30,16:13:08,MU,algorithm,call,bullish,320.00,"April 2, 2026",585550.00,6.00,60,v2,moderate,f,320.50,On bounce from VWAP ($334.03) — Near $320.50,334.0332,VWAP at $334.03,Pivot at $359.99,Below $314.09,,,$586K call flow at $320 strike with 100% ask aggression. Price at $320.50 below VWAP ($334.03). Negative gamma zone — moves will be amplified.,,miss,missed,33.26,325.00,f,t,wrong,"On Entry, it just needs to say near 320 because if you wait for bounce from VWAP its going to be too far away. ",2026-03-30 16:22
2026-03-31,10:58:13,SPY,algorithm,put,bearish,660.00,"April 2, 2026",635060.00,8.00,80,v2,strong,t,638.12,At VWAP ($640.53) — Near $638.12,640.53638,Pivot at $633.87,PDL at $629.28,Above R1 at $638.46,,,"$635K put flow at $660 strike with 100% ask aggression. Price at $638.12 below VWAP ($640.53). Price action confirmed: SR Tag + 2 Red Bars at $638.46 (lower high, lower low — confirmed).",,miss,missed,-12.94,638.67,t,f,wrong,,2026-04-01 00:04
2026-03-31,12:48:37,SMH,algorithm,call,bullish,377.50,"April 2, 2026",709447.00,6.00,60,v2,moderate,f,378.97,Near $378.97 (no VWAP data),378.97,$386.55,$394.13,Below $371.39,,,$709K call flow at $377.5 strike with 100% ask aggression. Price at $378.97.,,hit,hit,151.72,390.47,t,f,correct,,2026-04-01 00:04
2026-03-31,13:04:52,META,algorithm,call,bullish,565.00,"April 2, 2026",712300.00,6.00,60,v2,moderate,f,567.54,Near $567.54 (no VWAP data),567.54,$578.89,$590.24,Below $556.19,,,$712K call flow at $565 strike with 100% ask aggression. Price at $567.54.,,hit,hit,122.82,581.48,t,f,correct,,2026-04-01 00:03
2026-03-31,13:08:52,XOM,algorithm,put,bearish,170.00,"April 2, 2026",633434.00,8.00,80,v2,strong,t,168.89,Below VWAP ($172.77) — Near $168.89,172.77168,$165.51,$162.13,Above Pivot at $172.98,,,"$633K put flow at $170 strike with 95% ask aggression. Price at $168.89 below VWAP ($172.77). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $169.55 (lower high, lower low — confirmed).",,hit,hit,179.88,162.81,t,f,correct,,2026-04-01 00:02
2026-03-31,13:16:51,MDB,algorithm,call,bullish,255.00,"April 2, 2026",513030.00,7.00,70,v2,moderate,f,244.61,Whale sweep at $244.61,244.61,Strike at $255.00,$260.10,Below $239.72,,,$513K call sweep at $255 strike with 100% ask aggression. Price at $244.61.,,hit,hit,84.70,253.41,t,f,correct,,2026-04-01 00:01
2026-03-31,13:28:38,AVGO,algorithm,put,bearish,300.00,"April 2, 2026",743707.00,6.00,60,v2,moderate,f,307.40,On rejection from VWAP ($302.47) — Near $307.40,302.47307,VWAP at $302.47,Strike at $300.00,Above $313.55,,,$744K put flow at $300 strike with 100% ask aggression. Price at $307.40 above VWAP ($302.47).,,miss,missed,28.40,306.00,f,t,wrong,,2026-04-01 00:00
2026-03-31,13:57:21,SPXW,algorithm,call,bullish,6500.00,"April 2, 2026",705000.00,6.00,60,v2,moderate,f,6491.53,"Above VWAP ($6,453) — Near $6,492",64536492,"$6,518 (previous swing high), then $6,539",$6630.00,"Below $6,453 (VWAP break invalidates bullish thesis)",,,$705K call flow at $6500 strike with 100% ask aggression. Price at $6491.53.,,hit,hit,446.32,6609.67,f,f,correct,"Entry was perfect, but Target only 9 pts away. Went to 6528. Target should have been previous major swing high at 6517-6528",2026-03-31 21:00
2026-03-31,14:22:53,COIN,algorithm,put,bearish,175.00,"April 2, 2026",389502.00,6.00,60,v2,moderate,f,172.30,Near $172.30 (no VWAP data),172.3,$168.85,$165.41,Above $175.75,,,$390K put flow at $175 strike with 100% ask aggression. Price at $172.30.,,miss,missed,-41.74,173.74,f,t,wrong,,2026-03-31 23:57
2026-03-31,19:26:42,test,algorithm,call,bullish,1.00,01/01/2027,1.00,1.00,1,v2,,t,,,,,,,,,test,,expired,pending,,,f,f,wrong,,2026-04-02 09:04
2026-03-31,19:27:13,SPX,whale,put,bearish,6400.00,04/17/2026,1756980.00,8.00,82,v2,strong,t,6532.08,"Above VWAP ($6,465) — Whale sweep at $6,532",64656532,"$6,518 (previous swing low), then $6,505","$6,350","Above $6,465 (VWAP reclaim invalidates bearish thesis)",neutral,"Near gamma flip at $6,405 — THE transition zone. If price breaks below, dealers switch from suppressing to amplifying moves. Key magnet and put wall confluence.","SPX $6400 put with $1.75M premium via repeated descending fills — institutional size. 6,459 contracts vs 22,231 OI. Strike at $6,400 is directly at gamma flip ($6,405) and put wall — THE key level. If SPX breaks below $6,405, dealers flip from long to short gamma and AMPLIFY the move down. Someone is betting on a gamma flip break. Highest GEX concentration at this level. April expiry = swing position.",,miss,missed,34.16,6527.27,t,t,correct,,2026-03-31 21:53
2026-03-31,19:37:26,SPXW,algorithm,put,bearish,6365.00,04/01/2026,2473935.00,7.00,74,v2,moderate,t,6420.00,"Above VWAP ($6,436) — Near $6,440",64366440,"$6,434 (previous swing low), then $6,405","$6,390","Above $6,436 (VWAP reclaim invalidates bearish thesis)",positive,"Above gamma flip ($6,405) but targeting a break below it. If $6,405 breaks, dealers flip to short gamma and amplify the selloff. Morning selling pressure pushing toward this level.","SPXW $6365 put expiring tomorrow with $2.47M premium. 2,663 contracts vs 523 OI (5.1x vol/OI — aggressive new positioning). 65% ask-side aggression. SPX at ~$6,420 when this hit, dropping toward gamma flip at $6,405. Strike below the gamma flip — if SPX breaks $6,405, dealers switch from long to short gamma and amplify the drop. This put targets that exact gamma flip break. Morning selloff was already pushing SPX down from $6,426.",,hit,hit,,6404.54,t,t,correct,PERFECT! Target 6405 PERFECT ,2026-03-31 21:40
2026-03-31,19:37:26,SPXW,algorithm,put,bearish,6310.00,04/02/2026,2253915.00,7.00,70,v2,moderate,t,6395.00,"Below VWAP ($6,432) — Near $6,415",64326415,"$6,405 (previous swing low), then $6,365","$6,350","Above $6,432 (VWAP reclaim invalidates bearish thesis)",negative,"Deep below gamma flip ($6,405) — short gamma territory where dealer hedging amplifies moves. 85% ask aggression shows strong conviction. Needs gamma flip break as catalyst.","SPXW $6310 put with $2.25M premium. 3,305 contracts vs 602 OI (5.5x vol/OI ratio). 85% ask aggression — very aggressive buying. Strike at $6,310, well below current price and gamma flip ($6,405). This is a short gamma acceleration target — if SPX breaks the gamma flip, dealer hedging amplifies moves and $6,310 becomes reachable. 2-day expiry gives time for the thesis to play out. Morning selloff already tested $6,380.",,miss,missed,,6411.32,t,t,correct,"Entry okay, only went to 6420",2026-03-31 20:19
